,Subject,Dice,IoU,HD95,Slices,Image
25,R009,0.7451,0.7444,264.52,187,sub-r009s051_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
69,R040,0.742,0.7188,42.93,187,sub-r040s048_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
21,R009,0.7399,0.7291,139.33,187,sub-r009s034_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
40,R017,0.7248,0.6376,40.74,187,sub-r017s106_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
83,R052,0.7156,0.6801,104.64,187,sub-r052s031_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
78,R048,0.7146,0.6749,115.08,187,sub-r048s034_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
27,R009,0.7112,0.7112,236.76,187,sub-r009s078_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
22,R009,0.7105,0.694,95.61,187,sub-r009s037_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
46,R027,0.7098,0.6943,19.78,187,sub-r027s032_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
41,R018,0.7062,0.66,41.96,187,sub-r018s007_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
8,R004,0.7014,0.6303,42.65,187,sub-r004s003_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
43,R023,0.7005,0.7005,233.88,187,sub-r023s001_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
62,R038,0.6999,0.6802,97.6,187,sub-r038s054_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
28,R009,0.6969,0.6805,82.73,187,sub-r009s096_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
67,R040,0.6782,0.6389,120.46,187,sub-r040s024_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
10,R004,0.6762,0.6257,93.86,187,sub-r004s028_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
52,R031,0.6483,0.6251,153.04,187,sub-r031s028_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
24,R009,0.6472,0.6179,165.95,187,sub-r009s044_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
19,R009,0.6464,0.6446,244.69,187,sub-r009s022_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
49,R031,0.5972,0.5911,160.56,187,sub-r031s005_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
77,R048,0.5841,0.5767,203.1,187,sub-r048s022_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
15,R009,0.5592,0.5278,119.59,187,sub-r009s007_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
63,R038,0.5464,0.5124,126.23,187,sub-r038s081_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
